tags|intent
remove###B-action the###I-mask black###I-mask bar###I-mask scratch###I-mask that###B-mask is###I-mask hanging###I-mask from###I-mask the###I-mask entryway###I-mask between###I-mask the###I-mask living###I-mask room###I-mask and###I-mask dining###I-mask room###I-mask|delete
in###I-mask the###B-attribute middle###I-mask of###I-attribute the###B-attribute picture###I-mask on###I-mask the###B-attribute area###I-mask where###I-mask you###I-mask find###I-mask the###B-attribute sofa###I-mask and###I-mask a###I-mask picture###I-mask frame###I-mask hanging###I-mask in###I-mask the###B-attribute wall###I-mask the###B-attribute light###I-attribute is###O shining###O too###O brightly###O you###I-mask may###O lower###B-action the###B-attribute effect###I-attribute of###I-attribute light###I-attribute in###I-mask that###O part###O of###I-attribute the###B-attribute room###O|adjust
now###B-comment on###I-comment the###I-comment main###I-comment dining###I-comment area###I-comment where###I-comment all###I-comment the###I-comment stuffs###I-comment are###I-comment in###I-comment the###I-comment round###I-comment table###I-comment it###I-comment needs###I-comment a###I-comment little###I-comment light###I-comment up###I-comment thus###I-comment showing###I-comment some###I-comment life###I-comment on###I-comment the###I-comment picture###I-comment|comment
remove###B-action the###I-intent hair###I-mask like###I-mask trend###I-mask on###B-mask the###I-intent upper###I-mask middle###I-mask part###I-mask of###I-mask the###I-intent photo###I-intent because###B-intent it###I-intent makes###I-intent no###I-intent significant###I-intent sense###I-intent to###I-intent the###I-intent photo###I-intent|delete
have###B-action another###I-action focus###I-action on###I-action the###I-action waiting###I-action area###I-action where###I-action the###I-action sofa###I-action is###I-action located###I-action giving###I-action you###I-action two###I-action areas###I-action of###I-action attention###I-action for###I-action the###I-action photo###I-action that###I-action might###I-action be###I-action saying###I-action the###I-action between###I-action two###I-action rooms###I-action when###I-action mom###I-action s###I-action not###I-action around###I-action|other
less###B-value glare###B-action on###B-mask the###I-mask back###I-mask wall###I-mask|adjust
less###B-value blurrinss###B-action on###B-mask the###I-mask overall###I-mask photo###I-mask|adjust
bring###B-action objects###I-action closer###I-action in###I-action view###I-action|other
a###O darker###B-value color###B-attribute on###B-mask the###I-mask wall###I-mask|adjust
a###O darker###B-value color###B-attribute on###B-mask the###I-mask floor###I-mask tile###I-mask|adjust
add###B-value 15###I-value exposure###B-attribute|adjust
add###B-value 20###I-value brightness###B-action|adjust
add###B-value 30###I-value sharpness###B-action|adjust
add###B-value 20###I-value saturation###B-attribute|adjust
decrease###B-value contrast###B-action by###B-value 10###I-value|adjust
brighten###B-action the###B-mask foreground###I-mask|adjust
dull###O the###B-mask image###I-mask a###B-value bit###I-value (###O unsharpen###B-action )###O|adjust
make###O gray###B-attribute scale###I-attribute with###B-value certain###I-value elements###I-value in###I-value color###I-value|apply
destatic###B-comment|comment
crop###B-action|crop
make###O the###B-mask sky###I-mask brighter###B-attribute|adjust
make###O the###B-mask background###I-mask more###B-value clear###B-action|adjust
make###O the###B-mask photo###I-mask landscape###B-action orientation###I-action|rotate
make###O the###B-mask shadow###I-mask darker###B-value|adjust
make###O the###B-mask frisbee###I-mask brighter###B-value|adjust
would###B-comment you###I-comment turn###I-comment the###I-comment dog###I-comment into###I-comment one###I-comment of###I-comment those###I-comment three###I-comment legged###I-comment dogs###I-comment|comment
please###O replace###B-action the###B-mask frisbee###I-mask with###O a###B-dstobject large###I-dstobject fidget###I-dstobject spinner###I-dstobject instead###O|replace
turn###B-action the###B-mask muddy###I-mask dirt###I-mask into###O silty###B-dstobject beach###I-dstobject sand###I-dstobject|replace
make###B-action the###B-action dog###I-action s###I-action tail###I-action appear###B-intent to###I-intent be###I-intent perked###I-intent up###I-intent|add
give###B-action the###B-mask dog###I-mask a###B-mask cone###I-mask|add
blur###B-attribute the###B-mask background###I-mask|adjust
reduce###B-value the###B-attribute saturation###I-attribute|adjust
increase###B-value resolution###B-attribute|adjust
lighten###B-attribute the###B-mask dog###I-mask|adjust
darken###B-attribute the###B-mask face###I-mask|adjust
the###B-comment image###I-comment is###I-comment too###I-comment small###I-comment|comment
the###B-comment photo###I-comment is###I-comment too###I-comment magnified###I-comment|comment
the###B-comment image###I-comment is###I-comment not###I-comment centered###I-comment|comment
the###B-comment photo###I-comment is###I-comment too###I-comment bright###I-comment|comment
the###B-mask image###I-mask needs###O to###O be###O made###B-action more###B-value sharper###B-attribute|adjust
sharpen###B-attribute up###B-value the###B-mask train###I-mask|adjust
make###B-action the###B-mask trees###I-mask greener###B-value|adjust
make###B-action the###B-mask train###I-mask sharper###B-value|adjust
make###B-action the###B-mask train###I-mask brighter###B-value|adjust
make###B-action the###B-mask sky###I-mask brighter###B-value|adjust
brighter###B-action|adjust
more###B-value saturated###B-attribute|adjust
less###B-value shadows###B-attribute|adjust
remove###B-action rain###B-mask spots###I-mask|delete
make###B-action yellow###B-attribute brighter###B-attribute|adjust
please###O put###B-action a###B-mask woman###I-mask on###B-mask the###I-intent tracks###I-mask who###B-mask is###I-mask tied###I-mask up###I-mask with###I-mask ropes###I-mask similar###B-intent to###I-intent the###I-intent gags###I-intent in###I-intent old###I-intent time###I-intent cartoons###I-intent|add
please###O erase###B-action the###I-mask text###I-mask off###O of###O the###I-mask black###I-mask car###I-mask in###I-mask the###I-mask front###I-mask|delete
please###O add###B-action a###B-mask nefarious###I-mask man###I-mask to###B-mask the###I-mask platform###I-mask who###B-mask is###I-mask twirling###I-mask his###I-mask mustache###I-mask as###I-mask he###I-mask watches###I-mask the###I-mask lady###I-mask on###I-mask the###I-mask tracks###I-mask|add
please###O make###B-action the###I-mask no###I-dstobject smoking###I-mask sign###I-dstobject on###I-mask the###I-mask stop###I-mask on###I-mask the###I-mask left###I-mask hand###I-mask side###I-mask a###B-dstobject no###I-dstobject vaping###I-dstobject sign###I-dstobject|replace
please###O remove###B-action the###I-mask tracks###I-mask on###B-mask the###I-mask left###I-mask hand###I-mask side###I-mask|delete
increase###B-value saturation###B-attribute|adjust
increase###B-action contrast###B-attribute|adjust
remove###B-action sign###B-mask on###B-mask left###I-mask|delete
remove###B-action water###B-mask stains###I-mask on###B-mask the###I-mask pavement###I-mask|delete
make###B-action the###B-mask sky###I-mask more###B-value blue###B-attribute|adjust
the###B-comment image###I-comment is###I-comment too###I-comment big###I-comment|comment
the###B-mask image###I-mask is###O too###B-value dark###B-attribute|adjust
the###B-comment image###I-comment is###I-comment too###I-comment centered###I-comment|comment
nothing###B-comment is###I-comment really###I-comment in###I-comment focus###I-comment|comment
the###B-mask image###I-mask needs###O to###O be###O made###B-action more###O sharper###B-attribute|adjust
noise###B-attribute reduction###B-value (###B-mask specifically###I-mask seen###I-mask in###I-mask the###I-mask sky###I-mask )###I-mask|adjust
crop###B-action out###I-action 1###B-value 10th###I-value of###B-mask the###I-mask sky###I-mask|crop
remove###B-action people###B-mask in###I-mask background###I-mask|delete
turn###B-action black###B-attribute and###I-attribute white###I-attribute|apply
clone###B-action out###I-action red###B-mask suv###I-mask from###I-mask parking###I-mask lot###I-mask|clone
please###O deepen###B-value blue###B-attribute of###B-mask sky###I-mask|adjust
please###O eliminate###B-action backdrop###B-mask clouds###I-mask|delete
please###O make###B-action trees###B-mask have###B-attribute fall###I-attribute folage###I-attribute colors###I-attribute|adjust
please###O darken###B-value pavement###B-mask to###B-intent dark###I-value black###I-value to###B-intent make###I-intent it###I-intent look###I-intent newer###I-intent|adjust
left###B-mask side###I-mask of###I-mask photo###I-mask please###O remove###B-action red###B-mask jeep###I-mask cherokeee###I-mask from###I-mask behind###I-mask the###I-mask fence###I-mask|delete
crop###B-action the###I-value bottom###I-mask of###I-mask the###I-value photo###I-mask closer###B-value to###I-value the###I-value planes###I-value|crop
crop###B-action the###I-value right###I-mask of###I-mask the###I-value photo###I-mask closer###B-value to###I-value the###I-value planes###I-value|crop
remove###B-action the###I-mask red###I-mask van###I-mask behind###I-mask the###I-mask plane###I-mask|delete
remove###B-action the###B-mask building###I-mask|delete
make###B-action the###I-mask brown###B-attribute parts###B-mask of###I-mask the###I-mask right###I-mask plane###I-mask red###B-value|adjust
you###B-comment can###I-comment take###I-comment a###I-comment closer###I-comment picture###I-comment of###I-comment the###I-comment airplane###I-comment|comment
only###B-comment take###I-comment a###I-comment picture###I-comment of###I-comment the###I-comment red###I-comment airplane###I-comment no###I-comment ground###I-comment|comment
you###O could###O make###B-action the###B-mask picture###I-mask smaller###B-value|adjust
you###B-comment could###I-comment add###I-comment a###I-comment caption###I-comment of###I-comment what###I-comment place###I-comment this###I-comment picture###I-comment was###I-comment taken###I-comment at###I-comment|comment
you###O could###O make###B-action the###B-mask photo###I-mask a###B-value lot###I-value less###I-value grainy###B-attribute|adjust
i###B-comment would###I-comment crop###I-comment out###I-comment the###I-comment people###I-comment|comment
erase###B-action the###I-mask long###I-mask black###I-mask light###I-mask that###I-mask is###I-mask next###I-mask to###I-mask the###I-mask small###I-mask plane###I-mask|delete
erase###B-action the###I-mask tree###I-mask and###I-mask fence###I-mask that###B-mask is###I-mask by###I-mask the###I-mask building###I-mask|delete
brighten###B-attribute up###B-value the###I-intent building###I-mask so###B-intent that###I-intent it###I-intent does###I-intent nt###I-intent show###I-intent the###I-intent black###I-intent areas###I-intent as###I-intent much###I-intent|adjust
add###B-action more###B-value yellow###B-attribute and###I-attribute red###I-attribute tones###I-attribute to###B-intent the###I-mask trees###I-mask to###B-intent brighten###I-intent them###I-intent up###I-intent|adjust
make###B-action the###O shadows###B-attribute less###B-value harsh###I-value|adjust
turn###B-action down###B-value the###I-mask warmth###I-attribute in###B-mask the###I-mask photo###I-mask|adjust
cut###B-action off###B-value any###B-mask extra###I-mask on###I-mask the###I-mask sides###I-mask|crop
crop###B-action out###B-value lower###B-mask shadow###I-mask|crop
whiten###B-value teeth###B-mask|adjust
change###B-action all###B-mask logos###I-dstobject to###O nike###B-dstobject logos###I-dstobject|replace
fix###B-action hair###B-mask to###B-intent be###I-intent more###I-intent in###I-intent place###I-intent and###I-intent curly###I-intent|other
remove###B-action the###I-mask heads###I-mask at###B-mask the###I-mask bottom###I-mask of###I-mask the###I-mask photo###I-mask|delete
crop###B-action out###B-value the###I-mask green###I-mask line###I-mask at###B-mask the###I-mask top###I-mask of###I-mask the###I-mask photo###I-mask|crop
fix###B-action the###I-mask blinding###B-value whiteness###B-attribute in###O the###I-mask photos###O on###B-mask her###I-mask left###I-mask shoulder###I-mask the###I-mask hat###I-mask and###I-mask the###I-mask racket###I-mask handle###I-mask|adjust
crop###B-action it###O so###O it###O s###O only###B-value her###B-mask|crop
lighten###B-value the###B-mask shadows###I-mask|adjust
focus###B-comment more###I-comment on###I-comment her###I-comment body###I-comment|comment
white###B-attribute balance###I-attribute the###B-mask racket###I-mask|adjust
too###B-comment much###I-comment background###I-comment space###I-comment|comment
the###B-comment image###I-comment is###I-comment too###I-comment big###I-comment|comment
the###B-mask image###I-mask needs###O to###O be###O made###B-action less###B-value sharper###B-attribute|add
the###B-comment photo###I-comment is###I-comment too###I-comment magnified###I-comment|comment
the###B-comment photo###I-comment is###I-comment too###I-comment bright###I-comment|comment
the###B-comment image###I-comment is###I-comment too###I-comment centered###I-comment|comment
improve###B-value the###O focus###B-attribute|adjust
lighten###B-value the###B-mask subject###I-mask s###I-mask face###I-mask|adjust
blur###B-value the###B-mask background###I-mask|adjust
take###B-action out###B-value the###I-mask glare###I-attribute on###B-mask the###I-mask balls###I-mask|adjust
darken###B-action the###O whites###B-attribute|adjust
removes###B-action the###B-mask reflection###I-mask from###B-mask window###I-mask glass###I-mask|delete
eliminates###B-action shadow###B-mask from###B-mask computer###I-mask keyboard###I-mask|delete
remove###B-action the###I-mask reflection###I-mask of###I-mask the###I-mask sun###I-mask from###B-mask the###I-mask front###I-mask of###I-mask the###I-mask palace###I-mask|delete
make###B-action phone###B-mask keys###I-mask more###B-value detailed###B-attribute|adjust
make###B-action the###B-mask printer###I-mask s###I-mask gray###I-mask lighter###B-value|adjust
completely###B-value close###B-action the###I-mask blind###I-mask over###B-mask the###I-mask window###I-mask facing###I-mask the###I-mask building###I-mask|other
completely###B-value open###B-action the###I-mask blind###I-mask over###B-mask the###I-mask window###I-mask facing###I-mask the###I-mask water###I-mask|other
remove###B-action the###I-mask floor###I-mask lamp###I-mask and###I-mask all###I-mask objects###I-mask from###I-mask the###I-mask tabletop###I-mask and###I-mask windowsill###I-mask except###I-mask for###I-mask the###I-mask telephone###I-mask|delete
place###B-action the###I-destination telephone###I-mask on###B-destination the###I-destination table###I-destination in###I-destination front###I-destination of###I-destination the###I-destination window###I-destination facing###I-destination the###I-destination water###I-destination off###I-destination to###I-destination the###I-destination left###I-destination a###I-destination bit###I-destination|move
make###B-comment the###I-comment photo###I-comment only###I-comment of###I-comment the###I-comment waterfacing###I-comment window###I-comment and###I-comment the###I-comment telephone###I-comment|comment
arrange###B-action lighting###B-attribute to###O show###B-action a###I-mask shadow###I-mask of###I-mask a###I-mask hand###I-mask near###B-mask the###I-mask telephone###I-mask as###O if###O it###O might###O be###O reaching###O for###O the###I-mask telephone###I-mask|add
edit###B-action out###B-value the###B-mask blind###I-mask and###O clone###B-action upwards###B-value from###B-mask lower###I-mask window###I-mask pane###I-mask|clone
edit###B-action out###B-value the###I-mask back###I-mask of###I-mask the###I-mask desk###I-mask calendar###I-mask and###O clone###O across###O to###O the###I-mask right###O from###O opposite###O building###O|delete
edit###B-action out###O the###I-mask cable###I-mask clutter###I-mask beneath###I-mask the###I-mask desk###I-mask and###O clone###O in###O blank###B-dstobject wall###I-dstobject space###I-dstobject|replace
edit###B-action out###O the###I-mask clutter###I-mask on###I-mask the###I-mask shelf###I-mask below###I-mask printer###I-mask and###I-mask desk###I-mask phone###I-mask clone###O in###O blank###B-dstobject wall###I-dstobject space###I-dstobject|replace
clone###B-action across###B-value the###I-intent windows###I-mask desktop###I-mask icons###I-mask to###B-intent remove###I-intent the###I-intent swirl###I-intent from###I-intent the###I-intent monitor###I-intent|clone
cut###B-action and###I-intent edit###I-action or###I-action remove###I-action the###B-mask two###I-mask soda###I-mask cans###I-mask they###B-intent look###I-intent out###I-intent of###I-intent place###I-intent and###I-intent odd###I-intent|delete
remove###B-action the###I-mask black###I-mask line###I-mask in###B-mask the###I-mask middle###I-mask of###I-mask the###I-mask window###I-mask|delete
remove###B-action the###I-mask cords###I-mask hanging###I-mask under###I-mask the###I-mask desk###I-mask|delete
remove###B-action the###I-mask design###I-mask on###I-mask the###I-mask larger###I-mask computer###I-mask screen###I-mask in###I-mask the###I-mask corner###I-mask|delete
make###B-action the###I-mask scenery###I-mask of###I-mask of###I-mask the###I-mask window###I-mask brighter###B-attribute and###O prettier###B-action to###O see###O|other
remove###B-action the###B-mask soda###I-mask cans###I-mask|delete
remove###B-action the###I-mask glare###I-mask from###I-mask the###I-mask window###I-mask above###I-mask the###I-mask radio###I-mask|delete
either###O sharpen###B-attribute or###O remove###B-action the###I-mask reflection###I-mask of###I-mask the###I-mask building###I-mask in###I-mask the###I-mask windows###I-mask across###I-mask the###I-mask street###I-mask|delete
crop###B-action out###B-value the###I-intent bottom###I-mask of###I-mask the###I-intent picture###I-mask so###B-intent you###I-intent don###I-intent t###I-intent see###I-intent the###I-intent cords###I-intent under###I-intent the###I-intent desk###I-intent|crop
remove###B-action the###I-mask sun###I-mask reflection###I-mask from###B-mask the###I-mask top###I-mask leftcenter###I-mask of###I-mask the###I-mask picture###I-mask|delete
brighten###B-attribute the###I-mask desk###I-mask area###I-mask of###I-mask the###I-mask picture###I-mask it###B-intent s###I-intent too###I-intent dark###I-intent|adjust
crop###B-action the###B-mask image###I-mask|crop
reduce###B-value the###I-mask glare###I-attribute from###B-mask the###I-mask image###I-mask|adjust
correct###B-action for###O the###O yellow###B-attribute hue###I-attribute|apply
increase###B-value contrast###B-attribute|adjust
lighten###B-attribute the###B-mask room###I-mask|adjust
remove###B-value the###I-mask blurriness###B-attribute on###B-mask the###I-mask soccer###I-mask players###I-mask leg###I-mask in###B-mask the###I-mask middle###I-mask of###I-mask the###I-mask photo###I-mask|adjust
make###B-action the###I-mask soccer###I-mask ball###I-mask more###B-value clear###B-attribute that###B-mask the###I-mask goalie###I-mask is###I-mask holding###I-mask|adjust
remove###B-action the###I-mask two###I-mask practice###I-mask white###I-mask cones###I-mask on###I-mask the###I-mask side###I-mask of###I-mask the###I-mask field###I-mask|delete
fix###B-action the###I-mask rough###I-mask spots###I-mask in###I-mask the###I-mask grass###I-mask in###I-mask front###I-mask of###I-mask the###I-mask goal###I-mask|delete
delete###B-action the###I-mask guy###I-mask in###I-mask the###I-mask stands###I-mask who###I-mask has###I-mask the###I-mask tan###I-mask hat###I-mask and###I-mask you###I-mask can###I-mask not###I-mask see###I-mask his###I-mask face###I-mask he###B-mask is###I-mask in###I-mask the###I-mask middle###I-mask of###I-mask the###I-mask photo###I-mask|delete
put###B-action a###B-mask pair###I-mask of###I-mask white###I-mask cartoon###I-mask rabbit###I-mask ears###I-mask on###B-mask the###I-mask goalie###I-mask|add
put###B-action cartoon###B-mask kissy###I-mask lips###I-mask on###B-mask the###I-mask goalie###I-mask|add
put###B-action little###B-mask pink###I-mask hearts###I-mask floating###B-value up###I-value between###B-mask the###I-mask goalie###I-mask and###I-mask the###I-mask soccer###I-mask ball###I-mask|add
make###B-comment the###I-comment other###I-comment players###I-comment jerseys###I-comment much###I-comment more###I-comment vivid###I-comment|comment
make###B-action all###B-mask the###B-intent empty###I-mask seats###I-mask much###B-value brighter###B-attribute in###I-attribute color###I-attribute the###B-intent background###I-intent looks###I-intent boring###I-intent and###I-intent dull###I-intent|adjust
blur###B-attribute out###I-attribute fade###I-attribute the###I-intent outside###I-mask edges###I-mask of###I-mask the###I-intent crowd###I-mask in###I-mask the###I-intent bleachers###I-mask so###B-intent the###I-intent focs###I-intent is###I-intent on###I-intent the###I-intent soccer###I-intent players###I-intent|adjust
sharpen###B-attribute up###B-value the###I-mask area###I-mask around###I-mask the###I-mask goalie###I-mask s###I-mask head###I-mask and###I-mask the###I-mask soccer###I-mask ball###I-mask his###B-intent face###I-intent looks###I-intent blurry###I-intent|adjust
remove###B-action the###I-dstobject white###I-mask part###I-mask between###I-mask the###I-dstobject goalie###I-mask s###I-mask mouth###I-mask and###I-mask the###I-dstobject soccer###I-mask ball###I-mask fill###B-action it###I-action in###I-action to###O look###O like###O the###I-dstobject rest###I-dstobject of###I-dstobject the###I-dstobject turf###I-dstobject|replace
cut###B-action out###B-value the###I-mask soccer###I-mask player###I-mask to###I-mask the###I-mask far###I-mask right###I-mask|crop
sharpen###B-attribute the###I-intent goalie###I-mask s###I-mask right###I-mask hand###I-mask glove###I-mask it###B-intent blends###I-intent in###I-intent with###I-intent the###I-intent ball###I-intent and###I-intent looks###I-intent strange###I-intent|adjust
focus###I-comment the###I-comment picture###I-comment on###I-comment a###I-comment particular###I-comment player###I-comment or###I-comment event###I-comment this###I-comment photo###I-comment doesn###I-comment t###I-comment make###I-comment any###I-comment sense###I-comment without###I-comment a###I-comment central###I-comment focus###I-comment if###I-comment it###I-comment is###I-comment the###I-comment goalie###I-comment make###I-comment it###I-comment about###I-comment a###I-comment save###I-comment of###I-comment theirs###I-comment or###I-comment make###I-comment their###I-comment face###I-comment more###I-comment focused###I-comment in###I-comment the###I-comment picture###I-comment|comment
include###B-comment a###I-comment caption###I-comment or###I-comment other###I-comment relevant###I-comment details###I-comment to###I-comment the###I-comment photo###I-comment so###I-comment that###I-comment i###I-comment the###I-comment viewer###I-comment of###I-comment the###I-comment photo###I-comment knows###I-comment what###I-comment to###I-comment focus###I-comment on###I-comment|comment
include###B-comment the###I-comment team###I-comment name###I-comment or###I-comment players###I-comment names###I-comment|comment
improve###B-comment the###I-comment camera###I-comment quality###I-comment it###I-comment is###I-comment difficult###I-comment to###I-comment make###I-comment out###I-comment the###I-comment faces###I-comment of###I-comment the###I-comment players###I-comment (###I-comment which###I-comment is###I-comment presumably###I-comment what###I-comment you###I-comment are###I-comment focusing###I-comment on###I-comment )###I-comment|comment
wait###B-comment for###I-comment a###I-comment moment###I-comment when###I-comment a###I-comment player###I-comment is###I-comment looking###I-comment your###I-comment direction###I-comment|comment
overall###B-comment the###I-comment photo###I-comment is###I-comment not###I-comment very###I-comment high###I-comment quality###I-comment i###I-comment have###I-comment no###I-comment idea###I-comment (###I-comment as###I-comment a###I-comment viewer###I-comment )###I-comment what###I-comment i###I-comment should###I-comment be###I-comment looking###I-comment at###I-comment or###I-comment thinking###I-comment when###I-comment i###I-comment look###I-comment at###I-comment this###I-comment it###I-comment needs###I-comment to###I-comment be###I-comment framed###I-comment and###I-comment focused###I-comment based###I-comment on###I-comment a###I-comment particular###I-comment event###I-comment activity###I-comment players###I-comment involved###I-comment without###I-comment that###I-comment understanding###I-comment or###I-comment clearer###I-comment picture###I-comment the###I-comment photo###I-comment makes###I-comment little###I-comment sense###I-comment|comment
rotate###B-action clock###B-value wise###I-value so###B-intent that###I-intent the###I-intent sony###I-intent banner###I-intent is###I-intent straight###I-intent|rotate
crop###B-action right###B-mask side###I-mask just###B-value enough###B-intent to###I-intent remove###I-intent soccer###I-intent player###I-intent looks###I-intent like###I-intent 14###I-intent|crop
crop###B-action just###B-value above###B-mask the###I-mask fans###I-mask head###I-mask that###I-mask is###I-mask on###I-mask the###I-mask right###I-mask hand###I-mask side###I-mask about###I-mask 4###I-mask rows###I-mask back###I-mask looks###B-mask like###I-mask he###I-mask is###I-mask in###I-mask a###I-mask bluish###I-mask suit###I-mask|crop
brighten###B-attribute photo###B-mask|adjust
whiten###B-attribute sony###B-mask banner###I-mask lettering###I-mask to###B-intent make###I-intent stand###I-intent out###I-intent|adjust
i###B-comment think###I-comment there###I-comment should###I-comment be###I-comment people###I-comment in###I-comment the###I-comment photo###I-comment as###I-comment well###I-comment|comment
the###B-comment people###I-comment can###I-comment be###I-comment working###I-comment|comment
brighten###B-attribute the###B-mask photo###I-mask|adjust
take###B-action the###I-action photo###I-action on###I-action a###I-action sunny###I-action day###I-action|other
zoom###B-action out###B-attribute a###B-value little###I-value further###I-value|zoom
create###B-intent a###I-intent focal###I-intent point###I-intent on###I-intent the###I-intent plane###I-intent by###O cropping###B-action photo###B-mask|crop
increase###B-value the###I-mask contrast###B-attribute in###B-mask the###I-mask photo###I-mask|adjust
highlight###B-action the###B-mask plane###I-mask so###B-intent it###I-intent appears###I-intent more###I-intent white###I-intent|apply
edit###B-action out###B-value the###B-mask metal###I-mask behind###I-mask plane###I-mask|delete
increase###B-value saturation###B-attribute to###B-intent make###I-intent colors###I-intent on###I-intent plane###I-intent pop###I-intent more###I-intent|adjust
the###B-comment image###I-comment is###I-comment too###I-comment big###I-comment|comment
the###B-comment photo###I-comment is###I-comment too###I-comment magnified###I-comment|comment
nothing###B-comment is###I-comment really###I-comment in###I-comment focus###I-comment|comment
the###B-mask image###I-mask needs###O to###O be###O made###B-action more###B-value sharper###B-attribute|adjust
the###B-comment photo###I-comment is###I-comment too###I-comment bright###I-comment|comment
increase###B-value the###O whites###B-attribute|adjust
add###B-action a###O warmer###B-value hue###O|apply
crop###B-action the###B-mask image###I-mask|crop
remove###B-action the###I-mask items###I-mask in###I-mask the###I-mask bottom###I-mask of###I-mask the###I-mask photo###I-mask|delete
increase###B-value the###B-attribute saturation###I-attribute|adjust
apply###B-action more###B-value contrast###B-attribute to###B-mask the###I-mask whole###I-mask image###I-mask (###B-value 10###I-value 25###I-value )###I-value|adjust
the###I-mask two###I-mask bags###I-mask under###I-mask the###I-mask plane###I-mask that###I-mask looks###I-mask like###I-mask garbage###I-mask bags###I-mask should###B-action be###I-action removed###I-action|delete
a###B-comment little###I-comment blur###I-comment on###I-comment everything###I-comment except###I-comment the###I-comment plane###I-comment helps###I-comment others###I-comment focus###I-comment on###I-comment the###I-comment subject###I-comment|comment
use###B-action a###O spotlight###B-attribute on###B-mask either###I-mask topleft###I-mask or###I-mask topright###I-mask of###I-mask the###I-mask image###I-mask with###B-value around###I-value 70###I-value opacity###I-value|apply
three###B-comment spotlights###I-comment from###I-comment the###I-comment airport###I-comment building###I-comment should###I-comment be###I-comment erased###I-comment|comment
for###B-mask the###I-mask plate###I-mask in###I-mask the###I-mask foreground###I-mask please###O make###B-action it###O black###B-attribute|adjust
please###O remove###B-action the###I-mask coaster###I-mask from###I-mask under###I-mask the###I-mask wine###I-mask glass###I-mask in###I-mask the###I-mask foreground###I-mask it###B-intent is###I-intent not###I-intent attractive###I-intent|delete
please###O make###B-action the###I-mask handles###I-mask of###I-mask the###I-mask forks###I-mask black###B-attribute|adjust
please###O make###B-action the###B-mask table###I-mask white###B-value|adjust
